Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,Medicare Supplement(Policies or Certs),Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,A & H,Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,Medicare Supplement Plan G,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,Medicare Supplement Plan G,Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
GEICO General Insurance Company,{'': 7052124},2023-02-27,2023-03-17,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,A & H,A & H,PolicyHolder Service,Coverage Question,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,1550.78,Closed
Cigna Health and Life Insurance Company,{'': 7041053},2021-11-22,2022-01-19,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed
Cigna Health and Life Insurance Company,{'': 7041053},2021-11-22,2022-01-19,Group,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed
Cigna Health and Life Insurance Company,{'': 7041053},2021-11-22,2022-01-19,A & H,Dental,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed
Cigna Health and Life Insurance Company,{'': 7041053},2021-11-22,2022-01-19,Group,Dental,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,Medicare Supplement(Policies or Certs),Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Provider Issue,1550.78,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,A & H,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,Group,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,A & H,A & H,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,Group,A & H,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1270.99,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054398},2023-05-17,2023-06-15,Group,A & H,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,A & H,Dental,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,Group,Dental,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,A & H,Dental,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1270.99,Closed
Cigna Health and Life Insurance Company,{'': 7041286},2021-12-06,2022-03-29,Group,Dental,Claim Handling,Coordination of Benefits,Claim Settled,Claim Paid,1270.99,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Provider Issue,1550.78,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,A & H,A & H,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,Individual,A & H,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,A & H,A & H,PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,A & H,Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,Individual,A & H,PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,Medicare Supplement(Policies or Certs),Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid With Interest,1550.78,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7041034},2021-11-21,2021-12-08,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042087},2022-01-14,2022-02-28,A & H,A & H,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed
Cigna Health and Life Insurance Company,{'': 7042087},2022-01-14,2022-02-28,Group,A & H,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed
Cigna Health and Life Insurance Company,{'': 7042087},2022-01-14,2022-02-28,A & H,Health Only,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,A & H,A & H,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042087},2022-01-14,2022-02-28,Group,Health Only,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,A & H,A & H,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,Group,A & H,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,Group,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,A & H,Health Only,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,Group,Health Only,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7040808},2021-11-11,2021-12-21,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Extended,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7042887},2022-02-09,2022-03-17,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Coverage Denied,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,A & H,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7041543},2021-12-17,2022-02-01,Individual,Exchange,Claim Handling,UR DENIAL OF CLAIM,Claim Settled,Furnished Information,611.31,Closed
Progressive Direct Insurance Company,{'': 7048406},2022-10-04,2022-12-13,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Coverage Question,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Coverage Question,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,Health Only,Claim Handling,Time Delay,Claim Settled,Claim Paid,4504.2,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,A & H,Claim Handling,Prompt Pay,Claim Settled,Claim Paid,4504.2,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,A & H,Health Only,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,Health Only,Claim Handling,Prompt Pay,Claim Settled,Claim Paid,4504.2,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054398},2023-05-17,2023-06-15,Group,Health Only,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7045021},2022-05-09,2022-06-09,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,Group,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045021},2022-05-09,2022-06-09,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,Group,Health Only,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7045021},2022-05-09,2022-06-09,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,4504.2,Closed
"Anthem Health Plans, Inc",{'': 7045021},2022-05-09,2022-06-09,Group,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7049656},2022-11-23,2023-01-25,A & H,A & H,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
State Farm Fire & Casualty Company,{'': 7048929},2022-10-26,2022-12-14,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Overturned,Justified,19462.8,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid,4504.2,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,Group,A & H,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054398},2023-05-17,2023-06-15,A & H,A & H,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7049656},2022-11-23,2023-01-25,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,Group,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049785},2022-11-30,2023-01-25,A & H,A & H,Claim Handling,Time Delay,Claim Settled,Claim Paid,4504.2,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,A & H,Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231.0,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,Group,Health Only,Claim Handling,"Co-pay, Deductible, and Co-Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,A & H,Health Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,Individual,Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Provider Issue,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Provider Issue,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049229},2022-11-08,2022-12-14,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,A & H,Dental,Claim Handling,Claim Delays,Claim Settled,Voluntary Reconsideration,231.0,Closed
Cigna Health and Life Insurance Company,{'': 7051426},2023-02-06,2023-03-20,A & H,Health Only,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,A & H,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231.0,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Voluntary Reconsideration,231.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,Individual,Health Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,A & H,Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,Group,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,A & H,A & H,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,Individual,Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
UnitedHealthcare Insurance Company,{'': 7045327},2022-05-18,2022-06-10,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Voluntary Reconsideration,231.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049689},2022-11-28,2023-01-25,Individual,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,Individual,Health Exchange,PolicyHolder Service,Premium Notice/Billing,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
"ConnectiCare Benefits, Inc.",{'': 7045506},2022-05-25,2022-06-10,A & H,Health Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed
"Anthem Health Plans, Inc",{'': 7050036},2022-12-12,2022-12-14,Individual,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
"ConnectiCare Insurance Company, Inc",{'': 7054398},2023-05-17,2023-06-15,A & H,Health Only,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049538},2022-11-17,2023-03-20,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
